hour_of_day,location_type,traffic_congestion_index,utilization_rate,util_30_mins_ago,is_peak_hour
10,Hotel/Hospitality,4.770491803278689,0.635084699453552,0.611707650273224,False
10,Residential,4.959016393442623,0.09217759562841531,0.07527322404371585,False
10,Shopping Center,4.9849726775956285,0.7540081967213115,0.6971789617486338,False
10,Workplace,4.96448087431694,0.7218060109289617,0.7157868852459016,False
11,Hotel/Hospitality,5.002732240437158,0.697896174863388,0.6612349726775957,False
11,Residential,4.937158469945355,0.11639890710382512,0.10522677595628414,False
11,Shopping Center,5.058743169398907,0.8545027322404372,0.806016393442623,False
11,Workplace,4.945355191256831,0.7134153005464481,0.718136612021858,False
12,Hotel/Hospitality,4.9289617486338795,0.71924043715847,0.7129672131147542,False
12,Residential,4.898907103825136,0.13585245901639345,0.1254863387978142,False
12,Shopping Center,4.995901639344262,0.8938620218579235,0.8712459016393442,False
12,Workplace,5.084699453551913,0.7079289617486338,0.7095409836065574,False
13,Hotel/Hospitality,4.934426229508197,0.6759972677595628,0.7004207650273223,False
13,Residential,4.89344262295082,0.11643715846994536,0.1261393442622951,False
13,Shopping Center,5.012295081967213,0.8534685792349728,0.8718224043715846,False
13,Workplace,4.96448087431694,0.7069918032786886,0.7071010928961748,False
14,Hotel/Hospitality,4.953551912568306,0.629396174863388,0.6456147540983607,False
14,Residential,5.060109289617486,0.1130983606557377,0.11511202185792349,False
14,Shopping Center,4.956284153005464,0.8036707650273225,0.8287636612021858,False
14,Workplace,5.117486338797814,0.6962021857923497,0.705256830601093,False
15,Hotel/Hospitality,4.89344262295082,0.6321229508196722,0.6360327868852459,False
15,Residential,5.032786885245901,0.13743715846994536,0.12361202185792348,False
15,Shopping Center,4.934426229508197,0.7611161202185791,0.7841680327868852,False
15,Workplace,4.8497267759562845,0.6571256830601093,0.6763606557377049,False
16,Hotel/Hospitality,5.073770491803279,0.6854071038251366,0.6559945355191257,False
16,Residential,4.950819672131147,0.20904918032786884,0.17504098360655737,False
16,Shopping Center,5.005464480874317,0.6910327868852459,0.7267336065573771,False
16,Workplace,5.027322404371585,0.542483606557377,0.6012103825136612,False
17,Hotel/Hospitality,7.9316939890710385,0.7606857923497268,0.7261803278688524,True
17,Residential,8.095628415300547,0.3543633879781421,0.2804153005464481,True
17,Shopping Center,8.028688524590164,0.8116065573770492,0.7469890710382514,True
17,Workplace,8.049180327868852,0.3149863387978142,0.42633606557377046,True
18,Hotel/Hospitality,8.021857923497267,0.6933032786885246,0.7253060109289617,True
18,Residential,8.076502732240437,0.5789125683060109,0.47017486338797815,True
18,Shopping Center,7.979508196721311,0.8966502732240437,0.8581871584699453,True
18,Workplace,8.024590163934427,0.134551912568306,0.22432513661202183,True
19,Hotel/Hospitality,7.994535519125683,0.6375546448087431,0.6650655737704918,True
19,Residential,7.961748633879782,0.7547978142076502,0.6684590163934426,True
19,Shopping Center,8.056010928961749,0.9158565573770492,0.9078346994535519,True
19,Workplace,7.918032786885246,0.07421584699453553,0.10407650273224044,True
20,Hotel/Hospitality,4.9316939890710385,0.5180409836065574,0.5753469945355191,True
20,Residential,5.040983606557377,0.8048005464480875,0.7718633879781421,True
20,Shopping Center,5.009562841530054,0.8586120218579235,0.8859330601092896,True
20,Workplace,5.101092896174864,0.04818579234972677,0.06099453551912569,True
21,Hotel/Hospitality,4.948087431693989,0.4335573770491803,0.478931693989071,False
21,Residential,5.0,0.7808196721311474,0.7923825136612022,False
21,Shopping Center,5.079234972677596,0.702207650273224,0.7772486338797815,False
21,Workplace,4.939890710382514,0.031281420765027323,0.03993169398907104,False
22,Hotel/Hospitality,5.092896174863388,0.3415737704918033,0.3853852459016393,False
22,Residential,5.073770491803279,0.6424289617486338,0.7154180327868853,False
22,Shopping Center,5.0,0.44571584699453554,0.5767445355191257,False
22,Workplace,5.081967213114754,0.022857923497267757,0.02680054644808743,False
23,Hotel/Hospitality,4.953551912568306,0.28860109289617486,0.31619125683060106,False
23,Residential,4.904371584699454,0.4655300546448088,0.5534781420765027,False
23,Shopping Center,4.98087431693989,0.25393169398907106,0.3487882513661202,False
23,Workplace,4.969945355191257,0.022849726775956283,0.02287431693989071,False
